socket_type,N,data_size,D0_times,D1_times,D2_times,RUN
tcp,1,4096,0.008899955,0.007100866,0.000662488,24
tcp,1,4096,0.012176935,0.021398839,0.000594697,25
tcp,1,4096,0.000400491,0.000522834,0.000408551,26
tcp,1,4096,0.022996713,0.007133727,0.021354578,27
tcp,1,4096,0.004839884,0.000869154,0.000653668,28
tcp,1,4096,0.009166082,0.000633457,0.004386911,29
tcp,1,4096,0.00073051,0.006716165,0.00072249,30
tcp,1,4096,0.000232166,0.009003078,0.000515134,31
tcp,1,4096,0.000592196,0.00070987,0.000544404,32
tcp,1,4096,0.001010488,0.001219773,0.00072004,33
tcp,1,4096,0.0003919,0.00580706,0.00035712,34
tcp,1,4096,0.000578425,0.000684279,0.00220063,35
tcp,1,4096,0.000585866,0.000658848,0.000531055,36
tcp,1,4096,0.000618227,0.00072322,0.000514734,37
tcp,1,4096,0.000515404,0.000681329,0.000438512,38
tcp,1,4096,0.00071234,0.002265763,0.00074652,39
tcp,1,4096,0.000141284,0.004635677,0.000717679,40
tcp,1,4096,0.002084227,0.000706439,0.008050602,41
tcp,1,4096,0.003889638,0.000677568,0.000514914,42
tcp,1,4096,0.000140654,0.000917725,0.001001478,43
tcp,1,4096,0.000577416,0.00071247,0.000457643,44
tcp,1,4096,0.001610994,0.000762501,0.001630885,45
tcp,1,4096,0.008384021,0.000739751,0.003385373,46
tcp,1,4096,0.000120004,0.004869215,0.000602096,47
tcp,1,4096,0.000600266,0.000633258,0.000505364,48
tcp,1,4096,0.000132474,0.01088256,0.000575136,49
tcp,1,4096,0.000501083,0.000596287,0.004275977,50
tcp,1,32768,0.00072146,0.000886174,0.000653688,1
tcp,1,32768,0.001924233,0.000824173,0.005395999,2
tcp,1,32768,0.000113503,0.003282491,0.0086905,3
tcp,1,32768,0.005675076,0.000615737,0.005611805,4
tcp,1,32768,0.000424662,0.00070997,0.001659016,5
tcp,1,32768,0.000163345,0.004339259,0.000851874,6
tcp,1,32768,0.000129733,0.006044077,0.00110045,7
tcp,1,32768,0.000604116,0.000811812,0.000504604,8
tcp,1,32768,0.005926044,0.006017966,0.000648728,9
tcp,1,32768,0.000131153,0.007595749,0.000644818,10
